"Time Stamp,""Time Zone"",""Name"",""PTID"",""Load"""
"01/01/2004 00:51:47,""EST"",""NORTH"",61755,634"
"01/01/2004 00:51:47,""EST"",""WEST"",61752,1538"
"01/01/2004 00:55:17,""EST"",""CAPITL"",61757,1003"
"01/01/2004 00:55:17,""EST"",""CENTRL"",61754,1583"
"01/01/2004 00:55:17,""EST"",""DUNWOD"",61760,579"
"01/01/2004 00:55:17,""EST"",""GENESE"",61753,918"
"01/01/2004 00:55:17,""EST"",""HUD VL"",61758,1058"
"01/01/2004 00:55:17,""EST"",""MHK VL"",61756,571"
"01/01/2004 00:55:17,""EST"",""MILLWD"",61759,202"
"01/01/2004 00:55:17,""EST"",""N.Y.C._LONGIL"",,6879"
"01/01/2004 00:55:17,""EST"",""NORTH"",61755,644"
"01/01/2004 00:55:17,""EST"",""WEST"",61752,1530"
"01/01/2004 01:00:00,""EST"",""CAPITL"",61757,927"
"01/01/2004 01:00:00,""EST"",""CENTRL"",61754,1562"
"01/01/2004 01:00:00,""EST"",""DUNWOD"",61760,568"
"01/01/2004 01:00:00,""EST"",""GENESE"",61753,905"
"01/01/2004 01:00:00,""EST"",""HUD VL"",61758,1019"
"01/01/2004 01:00:00,""EST"",""MHK VL"",61756,602"
"01/01/2004 01:00:00,""EST"",""MILLWD"",61759,201"
"01/01/2004 01:00:00,""EST"",""N.Y.C._LONGIL"",,6778"
"01/01/2004 01:00:00,""EST"",""NORTH"",61755,628"
"01/01/2004 01:00:00,""EST"",""WEST"",61752,1516"
"01/01/2004 01:11:47,""EST"",""CAPITL"",61757,931"
"01/01/2004 01:11:47,""EST"",""CENTRL"",61754,1543"
"01/01/2004 01:11:47,""EST"",""DUNWOD"",61760,571"
"01/01/2004 01:11:47,""EST"",""GENESE"",61753,895"
"01/01/2004 01:11:47,""EST"",""HUD VL"",61758,1023"
"01/01/2004 01:11:47,""EST"",""MHK VL"",61756,589"
"01/01/2004 01:11:47,""EST"",""MILLWD"",61759,207"
"01/01/2004 01:11:47,""EST"",""N.Y.C._LONGIL"",,6742"
"01/01/2004 01:11:47,""EST"",""NORTH"",61755,624"
"01/01/2004 01:11:47,""EST"",""WEST"",61752,1509"
"01/01/2004 01:16:47,""EST"",""CAPITL"",61757,907"
"01/01/2004 01:16:47,""EST"",""CENTRL"",61754,1549"
"01/01/2004 01:16:47,""EST"",""DUNWOD"",61760,566"
"01/01/2004 01:16:47,""EST"",""GENESE"",61753,895"
"01/01/2004 01:16:47,""EST"",""HUD VL"",61758,1030"
"01/01/2004 01:16:47,""EST"",""MHK VL"",61756,593"
"01/01/2004 01:16:47,""EST"",""MILLWD"",61759,201"
"01/01/2004 01:16:47,""EST"",""N.Y.C._LONGIL"",,6722"
"01/01/2004 01:16:47,""EST"",""NORTH"",61755,629"
"01/01/2004 01:16:47,""EST"",""WEST"",61752,1512"
"01/01/2004 01:18:17,""EST"",""CAPITL"",61757,907"
"01/01/2004 01:18:17,""EST"",""CENTRL"",61754,1561"
"01/01/2004 01:18:17,""EST"",""DUNWOD"",61760,569"
"01/01/2004 01:18:17,""EST"",""GENESE"",61753,891"
"01/01/2004 01:18:17,""EST"",""HUD VL"",61758,1007"
"01/01/2004 01:18:17,""EST"",""MHK VL"",61756,592"
"01/01/2004 01:18:17,""EST"",""MILLWD"",61759,199"
"01/01/2004 01:18:17,""EST"",""N.Y.C._LONGIL"",,6680"
"01/01/2004 01:18:17,""EST"",""NORTH"",61755,629"
"01/01/2004 01:18:17,""EST"",""WEST"",61752,1512"
"01/01/2004 01:23:17,""EST"",""CAPITL"",61757,918"
"01/01/2004 01:23:17,""EST"",""CENTRL"",61754,1530"
"01/01/2004 01:23:17,""EST"",""DUNWOD"",61760,557"
"01/01/2004 01:23:17,""EST"",""GENESE"",61753,891"
"01/01/2004 01:23:17,""EST"",""HUD VL"",61758,999"
"01/01/2004 01:23:17,""EST"",""MHK VL"",61756,588"
"01/01/2004 01:23:17,""EST"",""MILLWD"",61759,200"
"01/01/2004 01:23:17,""EST"",""N.Y.C._LONGIL"",,6670"
"01/01/2004 01:23:17,""EST"",""NORTH"",61755,624"
"01/01/2004 01:23:17,""EST"",""WEST"",61752,1509"
"01/01/2004 01:24:47,""EST"",""CAPITL"",61757,908"
"01/01/2004 01:24:47,""EST"",""CENTRL"",61754,1532"
"01/01/2004 01:24:47,""EST"",""DUNWOD"",61760,562"
"01/01/2004 01:24:47,""EST"",""GENESE"",61753,892"
"01/01/2004 01:24:47,""EST"",""HUD VL"",61758,996"
"01/01/2004 01:24:47,""EST"",""MHK VL"",61756,582"
"01/01/2004 01:24:47,""EST"",""MILLWD"",61759,201"
"01/01/2004 01:24:47,""EST"",""N.Y.C._LONGIL"",,6643"
"01/01/2004 01:24:47,""EST"",""NORTH"",61755,624"
"01/01/2004 01:24:47,""EST"",""WEST"",61752,1495"
"01/01/2004 01:29:17,""EST"",""CAPITL"",61757,918"
"01/01/2004 01:29:17,""EST"",""CENTRL"",61754,1531"
"01/01/2004 01:29:17,""EST"",""DUNWOD"",61760,567"
"01/01/2004 01:29:17,""EST"",""GENESE"",61753,878"
"01/01/2004 01:29:17,""EST"",""HUD VL"",61758,1004"
"01/01/2004 01:29:17,""EST"",""MHK VL"",61756,576"
"01/01/2004 01:29:17,""EST"",""MILLWD"",61759,190"
"01/01/2004 01:29:17,""EST"",""N.Y.C._LONGIL"",,6627"
"01/01/2004 01:29:17,""EST"",""NORTH"",61755,618"
"01/01/2004 01:29:17,""EST"",""WEST"",61752,1495"
"01/01/2004 01:34:17,""EST"",""CAPITL"",61757,904"
"01/01/2004 01:34:17,""EST"",""CENTRL"",61754,1538"
"01/01/2004 01:34:17,""EST"",""DUNWOD"",61760,556"
"01/01/2004 01:34:17,""EST"",""GENESE"",61753,872"
"01/01/2004 01:34:17,""EST"",""HUD VL"",61758,1005"
"01/01/2004 01:34:17,""EST"",""MHK VL"",61756,575"
"01/01/2004 01:34:17,""EST"",""MILLWD"",61759,198"
"01/01/2004 01:34:17,""EST"",""N.Y.C._LONGIL"",,6612"
"01/01/2004 01:34:17,""EST"",""NORTH"",61755,623"
"01/01/2004 01:34:17,""EST"",""WEST"",61752,1480"
"01/01/2004 01:35:47,""EST"",""CAPITL"",61757,890"
"01/01/2004 01:35:47,""EST"",""CENTRL"",61754,1525"
"01/01/2004 01:35:47,""EST"",""DUNWOD"",61760,551"
"01/01/2004 01:35:47,""EST"",""GENESE"",61753,881"
"01/01/2004 01:35:47,""EST"",""HUD VL"",61758,987"
"01/01/2004 01:35:47,""EST"",""MHK VL"",61756,569"
"01/01/2004 01:35:47,""EST"",""MILLWD"",61759,196"
"01/01/2004 01:35:47,""EST"",""N.Y.C._LONGIL"",,6602"
"01/01/2004 01:35:47,""EST"",""NORTH"",61755,628"
"01/01/2004 01:35:47,""EST"",""WEST"",61752,1469"
"01/01/2004 01:40:47,""EST"",""CAPITL"",61757,890"
"01/01/2004 01:40:47,""EST"",""CENTRL"",61754,1507"
"01/01/2004 01:40:47,""EST"",""DUNWOD"",61760,554"
"01/01/2004 01:40:47,""EST"",""GENESE"",61753,873"
"01/01/2004 01:40:47,""EST"",""HUD VL"",61758,974"
"01/01/2004 01:40:47,""EST"",""MHK VL"",61756,574"
"01/01/2004 01:40:47,""EST"",""MILLWD"",61759,196"
"01/01/2004 01:40:47,""EST"",""N.Y.C._LONGIL"",,6562"
"01/01/2004 01:40:47,""EST"",""NORTH"",61755,626"
"01/01/2004 01:40:47,""EST"",""WEST"",61752,1477"
"01/01/2004 01:45:47,""EST"",""CAPITL"",61757,892"
"01/01/2004 01:45:47,""EST"",""CENTRL"",61754,1492"
"01/01/2004 01:45:47,""EST"",""DUNWOD"",61760,544"
"01/01/2004 01:45:47,""EST"",""GENESE"",61753,866"
"01/01/2004 01:45:47,""EST"",""HUD VL"",61758,972"
"01/01/2004 01:45:47,""EST"",""MHK VL"",61756,576"
"01/01/2004 01:45:47,""EST"",""MILLWD"",61759,197"
"01/01/2004 01:45:47,""EST"",""N.Y.C._LONGIL"",,6531"
"01/01/2004 01:45:47,""EST"",""NORTH"",61755,633"
"01/01/2004 01:45:47,""EST"",""WEST"",61752,1458"
"01/01/2004 01:50:47,""EST"",""CAPITL"",61757,897"
"01/01/2004 01:50:47,""EST"",""CENTRL"",61754,1514"
"01/01/2004 01:50:47,""EST"",""DUNWOD"",61760,540"
"01/01/2004 01:50:47,""EST"",""GENESE"",61753,866"
"01/01/2004 01:50:47,""EST"",""HUD VL"",61758,975"
"01/01/2004 01:50:47,""EST"",""MHK VL"",61756,552"
"01/01/2004 01:50:47,""EST"",""MILLWD"",61759,192"
"01/01/2004 01:50:47,""EST"",""N.Y.C._LONGIL"",,6492"
"01/01/2004 01:50:47,""EST"",""NORTH"",61755,632"
"01/01/2004 01:50:47,""EST"",""WEST"",61752,1467"
"01/01/2004 01:55:17,""EST"",""CAPITL"",61757,890"
"01/01/2004 01:55:17,""EST"",""CENTRL"",61754,1512"
"01/01/2004 01:55:17,""EST"",""DUNWOD"",61760,547"
"01/01/2004 01:55:17,""EST"",""GENESE"",61753,863"
"01/01/2004 01:55:17,""EST"",""HUD VL"",61758,984"
"01/01/2004 01:55:17,""EST"",""MHK VL"",61756,554"
"01/01/2004 01:55:17,""EST"",""MILLWD"",61759,185"
"01/01/2004 01:55:17,""EST"",""N.Y.C._LONGIL"",,6461"
"01/01/2004 01:55:17,""EST"",""NORTH"",61755,624"
"01/01/2004 01:55:17,""EST"",""WEST"",61752,1462"
"01/01/2004 02:00:00,""EST"",""CAPITL"",61757,891"
"01/01/2004 02:00:00,""EST"",""CENTRL"",61754,1507"
"01/01/2004 02:00:00,""EST"",""DUNWOD"",61760,541"
"01/01/2004 02:00:00,""EST"",""GENESE"",61753,858"
"01/01/2004 02:00:00,""EST"",""HUD VL"",61758,977"
"01/01/2004 02:00:00,""EST"",""MHK VL"",61756,571"
"01/01/2004 02:00:00,""EST"",""MILLWD"",61759,195"
"01/01/2004 02:00:00,""EST"",""N.Y.C._LONGIL"",,6468"
"01/01/2004 02:00:00,""EST"",""NORTH"",61755,604"
"01/01/2004 02:00:00,""EST"",""WEST"",61752,1457"
"01/01/2004 02:00:47,""EST"",""CAPITL"",61757,893"
"01/01/2004 02:00:47,""EST"",""CENTRL"",61754,1499"
"01/01/2004 02:00:47,""EST"",""DUNWOD"",61760,539"
"01/01/2004 02:00:47,""EST"",""GENESE"",61753,856"
"01/01/2004 02:00:47,""EST"",""HUD VL"",61758,959"
"01/01/2004 02:00:47,""EST"",""MHK VL"",61756,572"
"01/01/2004 02:00:47,""EST"",""MILLWD"",61759,192"
"01/01/2004 02:00:47,""EST"",""N.Y.C._LONGIL"",,6443"
"01/01/2004 02:00:47,""EST"",""NORTH"",61755,608"
"01/01/2004 02:00:47,""EST"",""WEST"",61752,1443"
"01/01/2004 02:05:17,""EST"",""CAPITL"",61757,875"
"01/01/2004 02:05:17,""EST"",""CENTRL"",61754,1498"
"01/01/2004 02:05:17,""EST"",""DUNWOD"",61760,551"
"01/01/2004 02:05:17,""EST"",""GENESE"",61753,855"
"01/01/2004 02:05:17,""EST"",""HUD VL"",61758,963"
"01/01/2004 02:05:17,""EST"",""MHK VL"",61756,555"
"01/01/2004 02:05:17,""EST"",""MILLWD"",61759,184"
"01/01/2004 02:05:17,""EST"",""N.Y.C._LONGIL"",,6445"
"01/01/2004 02:05:17,""EST"",""NORTH"",61755,624"
"01/01/2004 02:05:17,""EST"",""WEST"",61752,1464"
"01/01/2004 02:06:47,""EST"",""CAPITL"",61757,883"
"01/01/2004 02:06:47,""EST"",""CENTRL"",61754,1489"
"01/01/2004 02:06:47,""EST"",""DUNWOD"",61760,538"
"01/01/2004 02:06:47,""EST"",""GENESE"",61753,853"
"01/01/2004 02:06:47,""EST"",""HUD VL"",61758,964"
"01/01/2004 02:06:47,""EST"",""MHK VL"",61756,568"
"01/01/2004 02:06:47,""EST"",""MILLWD"",61759,192"
"01/01/2004 02:06:47,""EST"",""N.Y.C._LONGIL"",,6396"
"01/01/2004 02:06:47,""EST"",""NORTH"",61755,608"
"01/01/2004 02:06:47,""EST"",""WEST"",61752,1444"
"01/01/2004 02:11:47,""EST"",""CAPITL"",61757,888"
"01/01/2004 02:11:47,""EST"",""CENTRL"",61754,1488"
"01/01/2004 02:11:47,""EST"",""DUNWOD"",61760,530"
"01/01/2004 02:11:47,""EST"",""GENESE"",61753,849"
"01/01/2004 02:11:47,""EST"",""HUD VL"",61758,957"
"01/01/2004 02:11:47,""EST"",""MHK VL"",61756,550"
"01/01/2004 02:11:47,""EST"",""MILLWD"",61759,190"
"01/01/2004 02:11:47,""EST"",""N.Y.C._LONGIL"",,6369"
"01/01/2004 02:11:47,""EST"",""NORTH"",61755,618"
"01/01/2004 02:11:47,""EST"",""WEST"",61752,1458"
"01/01/2004 02:16:47,""EST"",""CAPITL"",61757,874"
"01/01/2004 02:16:47,""EST"",""CENTRL"",61754,1485"
"01/01/2004 02:16:47,""EST"",""DUNWOD"",61760,542"
"01/01/2004 02:16:47,""EST"",""GENESE"",61753,849"
"01/01/2004 02:16:47,""EST"",""HUD VL"",61758,952"
"01/01/2004 02:16:47,""EST"",""MHK VL"",61756,551"
"01/01/2004 02:16:47,""EST"",""MILLWD"",61759,182"
"01/01/2004 02:16:47,""EST"",""N.Y.C._LONGIL"",,6359"
"01/01/2004 02:16:47,""EST"",""NORTH"",61755,620"
"01/01/2004 02:16:47,""EST"",""WEST"",61752,1431"
"01/01/2004 02:18:17,""EST"",""CAPITL"",61757,877"
"01/01/2004 02:18:17,""EST"",""CENTRL"",61754,1488"
"01/01/2004 02:18:17,""EST"",""DUNWOD"",61760,539"
"01/01/2004 02:18:17,""EST"",""GENESE"",61753,843"
"01/01/2004 02:18:17,""EST"",""HUD VL"",61758,948"
"01/01/2004 02:18:17,""EST"",""MHK VL"",61756,541"
"01/01/2004 02:18:17,""EST"",""MILLWD"",61759,187"
"01/01/2004 02:18:17,""EST"",""N.Y.C._LONGIL"",,6316"
"01/01/2004 02:18:17,""EST"",""NORTH"",61755,629"
"01/01/2004 02:18:17,""EST"",""WEST"",61752,1445"
"01/01/2004 02:23:17,""EST"",""CAPITL"",61757,871"
"01/01/2004 02:23:17,""EST"",""CENTRL"",61754,1470"
"01/01/2004 02:23:17,""EST"",""DUNWOD"",61760,532"
"01/01/2004 02:23:17,""EST"",""GENESE"",61753,839"
"01/01/2004 02:23:17,""EST"",""HUD VL"",61758,956"
"01/01/2004 02:23:17,""EST"",""MHK VL"",61756,543"
"01/01/2004 02:23:17,""EST"",""MILLWD"",61759,192"
"01/01/2004 02:23:17,""EST"",""N.Y.C._LONGIL"",,6303"
"01/01/2004 02:23:17,""EST"",""NORTH"",61755,621"
"01/01/2004 02:23:17,""EST"",""WEST"",61752,1439"
"01/01/2004 02:24:47,""EST"",""CAPITL"",61757,875"
"01/01/2004 02:24:47,""EST"",""CENTRL"",61754,1471"
"01/01/2004 02:24:47,""EST"",""DUNWOD"",61760,534"
"01/01/2004 02:24:47,""EST"",""GENESE"",61753,836"
"01/01/2004 02:24:47,""EST"",""HUD VL"",61758,957"
"01/01/2004 02:24:47,""EST"",""MHK VL"",61756,549"
"01/01/2004 02:24:47,""EST"",""MILLWD"",61759,184"
"01/01/2004 02:24:47,""EST"",""N.Y.C._LONGIL"",,6296"
"01/01/2004 02:24:47,""EST"",""NORTH"",61755,618"
"01/01/2004 02:24:47,""EST"",""WEST"",61752,1444"
"01/01/2004 02:27:17,""EST"",""CAPITL"",61757,870"
"01/01/2004 02:27:17,""EST"",""CENTRL"",61754,1468"
"01/01/2004 02:27:17,""EST"",""DUNWOD"",61760,528"
"01/01/2004 02:27:17,""EST"",""GENESE"",61753,836"
"01/01/2004 02:27:17,""EST"",""HUD VL"",61758,942"
"01/01/2004 02:27:17,""EST"",""MHK VL"",61756,551"
"01/01/2004 02:27:17,""EST"",""MILLWD"",61759,182"
"01/01/2004 02:27:17,""EST"",""N.Y.C._LONGIL"",,6269"
"01/01/2004 02:27:17,""EST"",""NORTH"",61755,617"
"01/01/2004 02:27:17,""EST"",""WEST"",61752,1431"
"01/01/2004 02:32:17,""EST"",""CAPITL"",61757,868"
"01/01/2004 02:32:17,""EST"",""CENTRL"",61754,1475"
"01/01/2004 02:32:17,""EST"",""DUNWOD"",61760,528"
"01/01/2004 02:32:17,""EST"",""GENESE"",61753,835"
"01/01/2004 02:32:17,""EST"",""HUD VL"",61758,950"
"01/01/2004 02:32:17,""EST"",""MHK VL"",61756,541"
"01/01/2004 02:32:17,""EST"",""MILLWD"",61759,181"
"01/01/2004 02:32:17,""EST"",""N.Y.C._LONGIL"",,6269"
"01/01/2004 02:32:17,""EST"",""NORTH"",61755,617"
"01/01/2004 02:32:17,""EST"",""WEST"",61752,1432"
"01/01/2004 02:33:47,""EST"",""CAPITL"",61757,871"
"01/01/2004 02:33:47,""EST"",""CENTRL"",61754,1450"
"01/01/2004 02:33:47,""EST"",""DUNWOD"",61760,530"
"01/01/2004 02:33:47,""EST"",""GENESE"",61753,834"
"01/01/2004 02:33:47,""EST"",""HUD VL"",61758,944"
"01/01/2004 02:33:47,""EST"",""MHK VL"",61756,541"
"01/01/2004 02:33:47,""EST"",""MILLWD"",61759,183"
"01/01/2004 02:33:47,""EST"",""N.Y.C._LONGIL"",,6251"
"01/01/2004 02:33:47,""EST"",""NORTH"",61755,622"
"01/01/2004 02:33:47,""EST"",""WEST"",61752,1438"
"01/01/2004 02:38:47,""EST"",""CAPITL"",61757,854"
"01/01/2004 02:38:47,""EST"",""CENTRL"",61754,1468"
"01/01/2004 02:38:47,""EST"",""DUNWOD"",61760,531"
"01/01/2004 02:38:47,""EST"",""GENESE"",61753,824"
